timestamp_ist,rainfall_mm,rainfall_rate_mm_h,source_station,source_type,observation_classification,quality_flag,missing_flag,derivation_basis
2023-07-08T00:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_METAR_VERIFIED,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Pre-event dry window; rain initiated after 08:30 IST on 8 July.
2023-07-08T01:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_METAR_VERIFIED,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Pre-event dry window; rain initiated after 08:30 IST on 8 July.
2023-07-08T02:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_METAR_VERIFIED,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Pre-event dry window; rain initiated after 08:30 IST on 8 July.
2023-07-08T03:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_METAR_VERIFIED,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Pre-event dry window; rain initiated after 08:30 IST on 8 July.
2023-07-08T04:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_METAR_VERIFIED,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Pre-event dry window; rain initiated after 08:30 IST on 8 July.
2023-07-08T05:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_METAR_VERIFIED,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Pre-event dry window; rain initiated after 08:30 IST on 8 July.
2023-07-08T06:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_METAR_VERIFIED,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Pre-event dry window; rain initiated after 08:30 IST on 8 July.
2023-07-08T07:00:00+05:30,0.0,0.0,IMD Safdarjung Observatory (WMO 42182),SYNOPTIC_METAR_VERIFIED,VERIFIED_ZERO,OBSERVED_ZERO_VERIFIED,False,Pre-event dry window; rain initiated after 08:30 IST on 8 July.
2023-07-08T08:00:00+05:30,8.13,8.13,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_DAYTIME_BLOCK,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from daytime non-burst pool (24.4 mm / 3h). Hourly AWS telemetry unrecorded in open archives.
2023-07-08T09:00:00+05:30,8.13,8.13,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_DAYTIME_BLOCK,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from daytime non-burst pool (24.4 mm / 3h). Hourly AWS telemetry unrecorded in open archives.
2023-07-08T10:00:00+05:30,8.13,8.13,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_DAYTIME_BLOCK,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from daytime non-burst pool (24.4 mm / 3h). Hourly AWS telemetry unrecorded in open archives.
2023-07-08T11:00:00+05:30,25.77,25.77,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_AWS_3H_BURST,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from official 11:30-14:30 3-hour storm burst (77.3 mm / 3h = 25.77 mm/h). Exact hourly telemetry unrecorded in open archives.
2023-07-08T12:00:00+05:30,25.77,25.77,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_AWS_3H_BURST,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from official 11:30-14:30 3-hour storm burst (77.3 mm / 3h = 25.77 mm/h). Exact hourly telemetry unrecorded in open archives.
2023-07-08T13:00:00+05:30,25.77,25.77,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_AWS_3H_BURST,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from official 11:30-14:30 3-hour storm burst (77.3 mm / 3h = 25.77 mm/h). Exact hourly telemetry unrecorded in open archives.
2023-07-08T14:00:00+05:30,8.13,8.13,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_DAYTIME_BLOCK,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from afternoon non-burst pool (24.4 mm / 3h). Hourly AWS telemetry unrecorded in open archives.
2023-07-08T15:00:00+05:30,8.13,8.13,IMD Safdarjung Observatory (WMO 42182),DERIVED_FROM_DAYTIME_BLOCK,DERIVED_BLOCK_ALLOCATION,DERIVED SCENARIO — NOT OBSERVED HOURLY RAINFALL,False,Allocated from afternoon non-burst pool (24.4 mm / 3h). Hourly AWS telemetry unrecorded in open archives.
